回答url,页码,评论作者,作者性别,评论内容,作者主页,作者头像,评论时间,评论级别,点赞数,IP属地,Topic
https://www.zhihu.com/answer/3424848650,1,殇时我生,女,"['可以，我记得看到过云南老板吃完菌子坐飞机到哪儿哪儿，下地之后菌毒发作开始胡言乱语，当地医生查不出中毒原因', '(', '记不清了，大致是这样', ')']",https://www.zhihu.com/people/shang-shi-wo-sheng-32,https://picx.zhimg.com/v2-3792df48b88ae8a28ba4587f6e6d34c7.jpg?source=06d4cd63,2024-03-10 08:41:46,一级评论,471,安徽,"[(0, 0.02858029), (1, 0.88567805), (2, 0.028580472), (3, 0.028580239), (4, 0.028580952)]"
https://www.zhihu.com/answer/3424848650,1,八扇屏,未知,"['牢饭的原材料，米面油是央企中粮集团供货，肉蛋菜是地方国企食品集团食品集团供货，调料是麦德龙华润这类大型跨国商超供货。', '[', '酷', ']']",https://www.zhihu.com/people/shi-zu-niao-18,https://picx.zhimg.com/v2-5575328b1a76617f3fa86057239ac40d.jpg?source=06d4cd63,2024-03-10 08:33:35,一级评论,214,重庆,"[(0, 0.04001206), (1, 0.040012635), (2, 0.040012293), (3, 0.040011976), (4, 0.83995104)]"
https://www.zhihu.com/answer/3424848650,1,孙青羽,男,['杭州的监狱条件好点可能'],https://www.zhihu.com/people/sun-qing-yu-49,https://picx.zhimg.com/88ab6717bdaa0443eed720cd60d4305d.jpg?source=06d4cd63,2024-03-10 08:11:45,一级评论,684,山东,"[(0, 0.100038655), (1, 0.10004073), (2, 0.10004086), (3, 0.10003965), (4, 0.5998401)]"
https://www.zhihu.com/answer/3424848650,1,河马非马,未知,['看，这就是外地人的思维，我们本地人都是先怀疑他是不是吃菌闹着。'],https://www.zhihu.com/people/he-ma-fei-ma-73,https://picx.zhimg.com/v2-56e284daf1c4c49602e4f73171f41ae0.jpg?source=06d4cd63,2024-03-10 08:00:02,一级评论,4277,云南,"[(0, 0.73323137), (1, 0.0666924), (2, 0.06669193), (3, 0.06669112), (4, 0.06669318)]"
https://www.zhihu.com/answer/3424848650,1,水塔水獭,女,['吃蘑菇吃的'],https://www.zhihu.com/people/36-70-40-27,https://pic1.zhimg.com/v2-5ebc6843e87077fa427daf37925753b2.jpg?source=06d4cd63,2024-03-10 07:17:45,一级评论,315,四川,"[(0, 0.10004219), (1, 0.5998296), (2, 0.100043386), (3, 0.10004053), (4, 0.100044295)]"
https://www.zhihu.com/answer/3424848650,1,丢丢,男,['估计在云南惹了不得了人，跑外地蹲监狱'],https://www.zhihu.com/people/lin-zhang-yu,https://picx.zhimg.com/v2-d6b92f722ca525d1f9825872b1a736ee.jpg?source=06d4cd63,2024-03-10 07:12:21,一级评论,287,福建,"[(0, 0.7332315), (1, 0.0666926), (2, 0.06669177), (3, 0.06669081), (4, 0.06669336)]"
https://www.zhihu.com/answer/3424848650,1,慢悠悠,男,['这厮大老远跑到杭州就开砸，杭州这么有吸引力？'],https://www.zhihu.com/people/er-shi-xiong-85-33,https://pica.zhimg.com/v2-251bf6441d89ea09615fb5a6a45feca2.jpg?source=06d4cd63,2024-03-10 07:10:41,一级评论,278,浙江,"[(0, 0.7332309), (1, 0.06669253), (2, 0.06669197), (3, 0.06669137), (4, 0.06669324)]"
https://www.zhihu.com/answer/3424848650,1,raulzhen,未知,['想起张继聪金句，坐监系hk年轻人唯一的出路'],https://www.zhihu.com/people/raulzhen,https://picx.zhimg.com/v2-abed1a8c04700ba7d72b45195223e0ff.jpg?source=06d4cd63,2024-03-10 07:10:31,一级评论,204,广东,"[(0, 0.066688456), (1, 0.0666892), (2, 0.06668887), (3, 0.06668825), (4, 0.7332452)]"
https://www.zhihu.com/answer/3424848650,1,马德里之光,男,['迈克斯科菲尔德，进去见哥哥。'],https://www.zhihu.com/people/li-guang-tou-73,https://pica.zhimg.com/1ca97f05f.jpg?source=06d4cd63,2024-03-10 06:08:26,一级评论,1108,广东,"[(0, 0.06668509), (1, 0.06668588), (2, 0.06668558), (3, 0.73325723), (4, 0.06668625)]"
https://www.zhihu.com/answer/3424848650,1,赵匿名,男,['这机会不多，估计想表演一波，表演型人格可能'],https://www.zhihu.com/people/hei-se-bai-ling,https://picx.zhimg.com/v2-93790dcca79047dc9376be740378d83a.jpg?source=06d4cd63,2024-03-10 06:00:38,一级评论,765,陕西,"[(0, 0.050017618), (1, 0.050018504), (2, 0.050018072), (3, 0.7999269), (4, 0.050018936)]"
